Country,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)","Population, total",Population growth (annual %),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)"
Afghanistan,2000,3521418060,0,180.18836941056387,7.955,19542982,0,55.298,92
Bangladesh,2000,53369787319,0,413.10018526730875,3.27,129193327,0,65.779,63
India,2000,4.68e+16,0,44166206.77896066,7.856,1059633675,0,62.669,66.4
Nepal,2000,5494252208,0,223.71189185447585,10.622,24559500,0,62.614,58.5
Pakistan,2000,99484802345,0,644.4571569848023,597,154369924,0,62.102,84.8
Sri Lanka,2000,16330814180,0,869.7534885734842,7.74,18776371,0,70.355,14.4
Afghanistan,2001,2813571754,-20.101172139726007,142.90336443893105,7.958,19688632,0.745280326206103,55.798,89.3
Bangladesh,2001,53991289844,1.1645212698435112,410.0485409015433,3.614,131670484,1.9174032107710952,66.135,59.9
India,2001,4850000000000000.0,-89.63675213675214,4495023.886682053,8.039,1078970907,1.8248978355656733,63.091,64.5
Nepal,2001,6007055042,9.33344183314564,240.70515915746512,10.615,24956071,1.614735642012256,63.336,55.7
Pakistan,2001,97145618480,-2.3512976955897473,610.1432316013405,595,159217727,3.140380505725973,62.421,82.9
Sri Lanka,2001,15749753805,-3.558061273586789,832.4273196346247,7.9,18920275,0.7664100799883002,70.787,13.8
Afghanistan,2002,3825701439,35.97312503443621,182.17403821172465,7.939,21000256,6.661834097970849,56.454,86.6
Bangladesh,2002,54724081491,1.3572404903037047,407.9629676200713,3.967,134139826,1.8753952480344795,66.612,57
India,2002,5.15e+16,961.8556701030927,46890092.50667742,8.248,1098313039,1.7926462960692229,63.616,62.6
Nepal,2002,6050875807,0.7294883215421685,238.86125413298453,10.655,25332178,1.5070761739698528,63.264,53.1
Pakistan,2002,97923302809,0.8005346418789921,599.7894107566091,597,163262807,2.540596500287936,62.626,81.1
Sri Lanka,2002,16536535647,4.99551835375499,865.3021391097672,8.76,19110707,1.0064969985901366,71.117,13.4
Afghanistan,2003,4520946819,18.17301718614326,199.64322655688,7.922,22645130,7.832637849748117,57.344,83.7
Bangladesh,2003,60158929188,9.931363942387636,440.71440481771543,4.32,136503206,1.7618779377274578,66.824,54.3
India,2003,6.08e+16,18.058252427184467,54411291.51426385,8.397,1117415123,1.7392203608355778,64.094,60.6
Nepal,2003,6330473097,4.62077389981374,246.48583785761332,10.677,25682908,1.3845236678820114,64.197,50.7
Pakistan,2003,1.12e+16,11437422.712898757,67115429.18998629,595,166876680,2.213531095297167,62.843,79.5
Sri Lanka,2003,18881765437,14.182110691518773,978.1686456324812,8.22,19303180,1.0071474592750544,71.373,13
Afghanistan,2004,5224896719,15.570851155371665,221.8305307339857,7.914,23553551,4.01155126952241,57.944,80.9
Bangladesh,2004,65108544250,8.227565099325783,469.11645836894627,4.294,138789725,1.6750661519261314,67.187,51.7
India,2004,7.09e+16,16.611842105263158,62397438.99506898,8.551,1136264583,1.6868806956356182,64.524,58.7
Nepal,2004,7273938315,14.903549917100294,279.72420032868064,10.68,26003965,1.2500804036676842,64.818,48.5
Pakistan,2004,1.32e+16,17.857142857142858,77351929.36221811,588,170648620,2.2603158212399723,63.052,78.1
Sri Lanka,2004,20662525941,9.43111230748841,1060.1369431491792,8.38,19490431,0.970052602731778,67.091,17.6
Afghanistan,2005,6203256539,18.72495998709903,254.11527602237842,7.914,24411191,3.6412343939136824,58.361,78
Bangladesh,2005,69476001430,6.707963187181843,493.0432506421179,4.25,140912590,1.5295548715872158,67.299,49.3
India,2005,8.2e+16,15.655853314527505,71017885.57474081,8.697,1154638713,1.6170643945874001,64.996,56.8
Nepal,2005,8130258378,11.772440539317387,309.3104186362545,10.652,26285110,1.0811620458649287,65.457,46.5
Pakistan,2005,1.45e+16,9.848484848484848,83155505.76216614,582,174372098,2.1819561154376754,62.466,76.8
Sri Lanka,2005,24405791045,18.11620280448073,1240.5183122117433,7.67,19673866,0.9411541489256958,72.118,12.1
Afghanistan,2006,6971758282,12.38868226984349,274.01539232252367,7.918,25442944,4.226557401480329,58.684,75.1
Bangladesh,2006,71795735672,3.3389000435455833,503.3746344874691,3.591,142628831,1.2179472394908077,67.241,47
India,2006,9400000000000000.0,-88.53658536585365,8017920.646311823,8.614,1172373788,1.5359847890359104,65.412,54.8
Nepal,2006,9043715356,11.235276119535891,341.0281400435937,10.659,26518971,0.8897090405937049,65.868,44.6
Pakistan,2006,1.62e+16,11.724137931034482,90975467.26347771,582,178069984,2.120686762626438,63.731,75.5
Sri Lanka,2006,28279802406,15.873328399218867,1423.1906207056759,6.5,19870706,1.0005150995742271,71.969,11.5
Afghanistan,2007,9747886187,39.81962358287051,376.31829962520993,7.908,25903301,1.8093700163000006,59.111,72.3
